GC content,Purine ratio,Shannon H (k=1),Shannon H (k=3),Pi-stacking,GQS density,Struct. density,RC self-match,Scaffolding index,Length
0.5405405405405406,1.3125,1.970622280750471,5.084080425506423,0.2602739726027397,0.13513513513513511,0.1780821917808219,0.35135135135135137,20.29814647514305,74
0.5135135135135135,1.2424242424242424,1.9910196348538551,5.395280036014296,0.2328767123287671,0.13513513513513511,0.1780821917808219,0.24324324324324326,19.0856886838791,74
0.5135135135135135,1.3125,1.9608099583737308,5.235422049843088,0.2602739726027397,0.13513513513513511,0.1780821917808219,0.2972972972972973,19.37973665320428,74
0.5,1.1142857142857143,1.9066155706313739,5.07220885644707,0.2191780821917808,0.13513513513513511,0.2191780821917808,0.35135135135135137,19.406104284380312,74
0.5,1.2424242424242424,1.9652608446540176,5.171089626985458,0.2328767123287671,0.13513513513513511,0.1232876712328767,0.40540540540540543,18.827007760135807,74
0.5135135135135135,1.3125,1.9608099583737308,5.173057813792072,0.2328767123287671,0.13513513513513511,0.136986301369863,0.35135135135135137,19.37973665320428,74
0.5333333333333333,1.1428571428571428,1.9788223868594026,5.230384832615529,0.20270270270270271,0.13333333333333333,0.1891891891891892,0.32,20.21403237177429,75
0.5967741935483871,1.0,1.9085227265260118,5.1358128871670115,0.2459016393442623,0.16129032258064516,0.26229508196721313,0.25806451612903225,19.386712088379017,62
0.4166666666666667,0.92,1.976858112479406,5.431728479107056,0.17894736842105263,0.0,0.21052631578947367,0.2916666666666667,20.234117721131582,96
0.4270833333333333,0.6842105263157895,1.958521565995329,5.529018341104147,0.15789473684210525,0.0,0.22105263157894736,0.375,20.934147357737306,96
0.5106382978723404,0.7090909090909091,1.9560607177336329,5.292492597728956,0.16129032258064516,0.10638297872340426,0.3225806451612903,0.23404255319148937,24.539103017472584,94
0.4105263157894737,0.6379310344827587,1.936695336110455,5.255038617532098,0.13829787234042554,0.0,0.22340425531914893,0.25263157894736843,20.13738512994002,95
0.5625,1.2222222222222223,1.980432010793153,5.18233683402497,0.31645569620253167,0.125,0.17721518987341772,0.05,22.72230353400226,80
0.525,1.2222222222222223,1.9887586809150082,5.390858148210745,0.2911392405063291,0.125,0.1518987341772152,0.125,21.118690409429572,80
0.6,1.162162162162162,1.9668136509239562,5.2495818660485165,0.3037974683544304,0.25,0.17721518987341772,0.2,24.404943280980188,80
0.5301204819277109,1.7666666666666666,1.9346585666918248,5.177640552422679,0.3902439024390244,0.48192771084337344,0.2926829268292683,0.24096385542168675,22.743019370192293,83
0.5301204819277109,1.59375,1.9592407589239738,5.243627934743004,0.4146341463414634,0.36144578313253006,0.2804878048780488,0.2891566265060241,22.457667513255252,83
0.5632183908045977,1.2894736842105263,1.9586222593928244,5.387110312730865,0.313953488372093,0.1149425287356322,0.23255813953488372,0.22988505747126436,25.017572810398494,87
0.5517241379310345,1.2894736842105263,1.9669141562235264,5.4531060830183575,0.313953488372093,0.1149425287356322,0.22093023255813954,0.22988505747126436,24.403696238814852,87
0.5697674418604651,1.3243243243243243,1.956404191570185,5.4066747142136276,0.3176470588235294,0.11627906976744186,0.23529411764705882,0.18604651162790697,25.045936399643903,86
0.6,1.4193548387096775,1.9363439072654465,5.053719120941011,0.3783783783783784,0.5333333333333333,0.2972972972972973,0.4533333333333333,23.23966140079357,75
0.5063291139240507,1.2571428571428571,1.9765788705610112,5.444913650887834,0.3333333333333333,0.2531645569620253,0.2692307692307692,0.22784810126582278,20.23697630222594,79
0.55,1.3529411764705883,1.9755700374451464,5.171378462585569,0.35443037974683544,0.125,0.1518987341772152,0.1,22.27204143309461,80
0.5949367088607594,1.0789473684210527,1.972499074227703,5.2405586185045925,0.2692307692307692,0.12658227848101264,0.1794871794871795,0.22784810126582278,23.82762901461588,79
0.5625,1.105263157894737,1.9866370421013735,5.329898052029163,0.3291139240506329,0.125,0.25316455696202533,0.15,22.651333079477876,80
0.55,1.2222222222222223,1.971099070932946,5.1920148789245015,0.31645569620253167,0.25,0.17721518987341772,0.175,22.322560203234257,80
